frame.encap_type,frame.len,frame.number,frame.time_delta_displayed,frame.time_epoch,frame.time_relative,radiotap.channel.flags.cck,radiotap.channel.flags.ofdm,radiotap.channel.freq,radiotap.datarate,radiotap.dbm_antsignal,radiotap.length,radiotap.mactime,radiotap.present.tsft,radiotap.rxflags,radiotap.timestamp.ts,radiotap.vendor_oui,wlan.duration,wlan.bssid,wlan.fc.retry,wlan.fc.subtype,wlan.fcs.bad_checksum,wlan.fixed.beacon,wlan.fixed.capabilities.ess,wlan.seq,wlan.tag,wlan_radio.frequency,wlan_radio.signal_dbm,wlan_radio.start_tsf,wlan_radio.phy,wlan_radio.timestamp,wlan.rsn.capabilities.mfpc,wlan_rsna_eapol.keydes.msgnr,arp,arp.hw.type,arp.proto.type,ip.dst,ip.proto,ip.src,ip.ttl,tcp.ack,udp.dstport,udp.srcport,udp.length,Label
1,42,6,0.005516641,0.005516641,1505186373,0.077505832,0,0,0,0.0,0,0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0,Address Resolution Protocol (request),1,192.168.1.1,0,0,0,0.0,0.0,0.0,0.0,Normal
1,54,41948,2e-06,2e-06,1709374650,8.596935,0,0,0,0.0,0,0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0,0,0,0,192.168.241.208,6,192.168.241.124,0.0,1.875672,0.0,0.0,DDoS
23,56,641201,3.282e-06,3.282e-06,1511916507,460.5045982,0,1,2417,24.0,-56,-56,36.0,1287516484.0,1,0,0x0000,0,0,0,1,0,11,28,0,2.0,24.0,1287516484.0,2417.0,-56,1287516456.0,6.0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,ICMP Flooding
1,66,97763,3.9e-05,3.9e-05,1709374658,15.958249,0,0,0,0.0,0,0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0,0,0,0,192.168.241.124,6,192.168.241.208,0.0,59395.0,0.600144,1.159392,DDoS
1,66,28231,0.000125,0.000125,1709374649,6.852834,0,0,0,0.0,0,0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0,0,0,0,192.168.241.124,6,192.168.241.208,0.0,51715.0,0.655988,1.858919,DDoS
1,54,171484,2e-06,2e-06,1709374668,26.121364,0,0,0,0.0,0,0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0,0,0,0,192.168.241.208,6,192.168.241.124,0.0,1.178126,0.0,0.0,DDoS
1,66,25797,6e-06,6e-06,1709374648,6.443512,0,0,0,0.0,0,0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0,0,0,0,192.168.241.124,6,192.168.241.208,0.0,52376.0,0.539109,0.539111,DDoS
23,56,66787,2.165e-05,2.165e-05,1511915587,29.7201357,0,1,2417,24.0,-53,-53,36.0,368059777.0,1,0,0x0000,0,0,0,1,0,11,28,0,2.0,24.0,368059777.0,2417.0,-53,368059749.0,6.0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,UDP Flooding
23,1384,627607,9.863e-06,9.863e-06,1511916486,440.3974006,0,0,2417,52.0,-57,-57,50.0,1267409597.0,1,0,0x0000,0,1,0,2,0,8,244,766,2.0,52.0,1267409597.0,2417.0,-57,1267409353.0,7.0,0,0,0,0,0,0,0,1296.0,0.0,0.0,0.0,ICMP Flooding
1,100,142629,0.000107,0.000107,1709372031,2528.982384,0,0,0,0.0,0,0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0,0,0,0,192.168.10.152,6,192.168.10.149,0.0,6.164285,0.0,0.0,BruteForce
1,60,86153,1e-06,1e-06,1709389502,870.673248,0,0,0,0.0,0,0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0,Address Resolution Protocol (request),1,192.168.21.81,0,0,0,0.0,0.0,0.0,0.0,MITM
1,81,88462,0.026717,0.026717,1709371073,1570.857569,0,0,0,0.0,0,0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0,0,0,0,192.168.10.149,6,192.168.10.152,0.0,4.02086,0.0,0.0,BruteForce
23,56,628373,0.000447143,0.000447143,1511916487,440.7891343,0,1,2417,24.0,-74,-74,36.0,1267801430.0,1,0,0x0000,0,0,0,1,0,11,28,0,2.0,24.0,1267801430.0,2417.0,-74,1267801402.0,6.0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,ICMP Flooding
23,68,651771,6.435e-06,6.435e-06,1511916511,464.9504042,0,1,2417,24.0,-34,-34,36.0,1291962289.0,1,0,0x0000,0,0,0,1,0,9,32,0,2.0,24.0,1291962289.0,2417.0,-34,1291962257.0,6.0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,ICMP Flooding
1,54,84418,1e-05,1e-05,1709374656,14.308827,0,0,0,0.0,0,0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0,0,0,0,192.168.241.208,6,192.168.241.124,0.0,1.146472,0.0,0.0,DDoS
1,79,56959,0.266331,0.266331,1709370515,1013.141465,0,0,0,0.0,0,0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0,0,0,0,192.168.10.149,6,192.168.10.152,0.0,0.352172,0.0,0.0,BruteForce
23,68,11435,0.041042281,0.041042281,1505346647,60.38676185,0,1,2417,24.0,-53,-53,36.0,784733000000.0,1,0,0x0000,0,0,0,1,0,9,32,0,2.0,24.0,784733000000.0,2417.0,-53,784733000000.0,6.0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,replay
1,60,74798,1e-06,1e-06,1709389389,757.771315,0,0,0,0.0,0,0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0,Address Resolution Protocol (request),1,192.168.21.10,0,0,0,0.0,0.0,0.0,0.0,MITM
23,56,7067,0.000468059,0.000468059,1505346618,31.79464259,0,1,2417,24.0,-52,-52,36.0,784705000000.0,1,0,0x0000,0,0,0,1,0,11,28,0,2.0,24.0,784705000000.0,2417.0,-52,784705000000.0,6.0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,replay
1,66,172953,5e-06,5e-06,1709374668,26.286236,0,0,0,0.0,0,0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0,0,0,0,192.168.241.124,6,192.168.241.208,0.0,51061.0,0.592506,0.592508,DDoS
1,66,143237,1.5e-05,1.5e-05,1709374664,22.3772,0,0,0,0.0,0,0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0,0,0,0,192.168.241.124,6,192.168.241.208,0.0,64450.0,0.799788,0.79979,DDoS
1,66,14715,6e-06,6e-06,1709374646,4.763809,0,0,0,0.0,0,0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0,0,0,0,192.168.241.124,6,192.168.241.208,0.0,51173.0,0.633698,0.633729,DDoS
23,39,14193,0.00051155,0.00051155,1505346652,65.20351258,0,0,0,1.0,0,13,0.0,0.0,0,0,0,314,0,0,12,0,0,90:03:b7:38:f5:b8,90:03:b7:38:f5:b8,0.0,0.0,0.0,0.0,4,0.0,0.0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,replay
23,56,38302,0.000482409,0.000482409,1511915581,23.23131384,0,1,2417,24.0,-53,-53,36.0,361573105.0,1,0,0x0000,0,0,0,1,0,11,28,0,2.0,24.0,361573105.0,2417.0,-53,361573077.0,6.0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,UDP Flooding
1,54,21954,2e-06,2e-06,1709374648,5.911159,0,0,0,0.0,0,0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0,0,0,0,192.168.241.208,6,192.168.241.124,0.0,1.146393,0.0,0.0,DDoS
23,144,642106,4.544e-06,4.544e-06,1511916507,460.8062079,0,0,2417,72.2222,-58,-58,50.0,1287818167.0,1,0,0x0000,0,1,0,2,0,8,47,1283,2.0,72.2222,1287818167.0,2417.0,-58,1287818120.0,7.0,0,0,0,0,0,0,0,56.0,0.0,0.0,0.0,ICMP Flooding
23,138,22460,6.6708e-05,6.6708e-05,1505346661,73.92521057,0,0,0,65.0,0,14,0.0,0.0,0,0,0,0,2,0,8,0,0,0c:84:dc:d5:5f:4d,0c:84:dc:d5:5f:4d,0.0,0.0,0.0,0.0,7,0.0,0.0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,replay
1,60,7418,0.007944,0.007944,1709388708,76.865228,0,0,0,0.0,0,0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0,Address Resolution Protocol (request),1,192.168.21.8,0,0,0,0.0,0.0,0.0,0.0,MITM
1,66,6791,1.4e-05,1.4e-05,1709374645,3.072089,0,0,0,0.0,0,0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0,0,0,0,192.168.241.124,6,192.168.241.208,0.0,50512.0,0.0,0.0,DDoS
1,66,158449,0.000273,0.000273,1709372315,2813.763583,0,0,0,0.0,0,0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0,0,0,0,192.168.10.149,6,192.168.10.152,0.0,3.092937,0.0,0.0,BruteForce
23,1138,33833,0.000794373,0.000794373,1511915579,21.19401769,0,0,2417,6.5,-55,-55,50.0,359534457.0,1,0,0x0000,0,1,0,2,0,8,1380,3689,2.0,6.5,359534457.0,2417.0,-55,359533077.0,7.0,0,0,0,0,0,0,0,1050.0,0.0,0.0,0.0,UDP Flooding
1,60,75038,1e-06,1e-06,1709389390,758.951146,0,0,0,0.0,0,0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0,Address Resolution Protocol (request),1,192.168.21.114,0,0,0,0.0,0.0,0.0,0.0,MITM
1,54,157286,2e-06,2e-06,1709374666,24.310807,0,0,0,0.0,0,0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0,0,0,0,192.168.241.208,6,192.168.241.124,0.0,1.1853,0.0,0.0,DDoS
